contact_id,first_name,last_name,email,left_of_goal
2467,Calogero,Cross,calogero.cross@mercantini.it,153288.00
2809,Lauretta,Neal,lauretta.neal@hotmail.de,151747.00
3290,Chantal,Armas,chantal.armas@jenkins.net,98164.00
3280,Ariadna,Geisel,ariadna.geisel@rangel.com,88154.00
6007,Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,72323.00
4785,Guillermina,Nicholson,guillermina.nicholson@grondin.fr,71872.00
2609,Henry,Gucci,henry.gucci@leleu.fr,41198.00
1657,Gabriela,Padilla,gabriela.padilla@pearson-russell.com,40291.00
1725,Svenja,Perrin,svenja.perrin@berger.com,8362.00
1486,Caroline,Reeves,caroline.reeves@yahoo.com,3768.00
5594,Katarina,Clarke,katarina.clarke@hotmail.com.au,3739.00
4025,Imelda,Guerin,imelda.guerin@stumpf.net,1559.00
3916,Danny,Farrell,danny.farrell@hotmail.com,1503.00
5713,Tobias,Carbajal,tobias.carbajal@live.com,426.00
